name,line,depth
Бульвар Рокоссовского,Сокольническая линия,-8
Черкизовская,Сокольническая линия,-9
Преображенская площадь,Сокольническая линия,-7
Сокольники,Сокольническая линия,-9
Красносельская,Сокольническая линия,-8
Комсомольская,Сокольническая линия,-8
Красные ворота,Сокольническая линия,-31
Чистые пруды,Сокольническая линия,-35
Лубянка,Сокольническая линия,-32.5
Охотный ряд,Сокольническая линия,-15
Библиотека имени Ленина,Сокольническая линия,-12
Кропоткинская,Сокольническая линия,-13
Парк Культуры,Сокольническая линия,-10.5
Фрунзенская,Сокольническая линия,-42
Спортивная,Сокольническая линия,-42
